# n, cpu_time, gpu_time, speedup, kernel_time 
# [], [ms], [ms], [], [ms] 
1 , 0.034000 , 134.746994 , 0.000252325 ,  0.507360
2 , 0.034000 , 167.457993 , 0.000203036 ,  1.068640
4 , 0.120000 , 141.959000 , 0.000845314 ,  1.584704
8 , 0.290000 , 159.850998 , 0.00181419 ,  1.262048
16 , 1.629000 , 141.886993 , 0.011481 ,  0.517248
32 , 5.106000 , 145.936996 , 0.0349877 ,  0.657920
64 , 20.146000 , 152.847000 , 0.131805 ,  0.677984
128 , 46.647999 , 165.108002 , 0.28253 ,  0.685376
256 , 158.389008 , 136.154007 , 1.16331 ,  0.575424
512 , 864.601013 , 143.774994 , 6.01357 ,  0.857152
1024 , 2373.936035 , 131.425003 , 18.063 ,  1.923872
2048 , 14830.111328 , 168.660004 , 87.929 ,  6.547135
4096 , 37742.468750 , 201.960007 , 186.881 ,  25.394396
8192 , 152749.468750 , 376.855011 , 405.327 ,  100.433578
16384 , 587899.875000 , 1206.225952 , 487.388 ,  389.057159
