# n, cpu_time, gpu_time, speedup, kernel_time
# [], [ms], [ms], [], [ms]
1 , 0.014000 , 171.932007 , 8.14275e-05 ,  0.921000
2 , 0.009000 , 160.177002 , 5.61878e-05 ,  1.009000
4 , 0.025000 , 163.800003 , 0.000152625 ,  0.956000
8 , 0.122000 , 170.024002 , 0.000717546 ,  1.048999
16 , 0.424000 , 151.949997 , 0.00279039 ,  1.148000
32 , 1.713000 , 197.358002 , 0.00867966 ,  2.340000
64 , 7.706000 , 154.399002 , 0.0499096 ,  4.188997
128 , 19.118000 , 164.483002 , 0.116231 ,  13.638000
256 , 58.931999 , 175.979996 , 0.334879 ,  26.559988
512 , 312.792999 , 205.964005 , 1.51868 ,  52.512005
1024 , 860.598999 , 252.106995 , 3.41363 ,  104.151039
2048 , 4089.991943 , 388.417999 , 10.5299 ,  207.817917
4096 , 12985.778320 , 591.284973 , 21.962 ,  413.207123
8192 , 55745.753906 , 1138.370972 , 48.9698 ,  838.872070
16384 , 202869.656250 , 3793.499023 , 53.4782 ,  3166.317383
